Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,NAIVE.ate,NAIVE.bias,NAIVE.mae,NAIVE.mse,NAIVE.empse,NAIVE.vr,NAIVE.cov,NAIVE.ciwidth,NAIVE.std_bias,shapeBC_f
596,N_AC300b_X0.4b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,300,0.400477567,0.400477567,0.2,0,0.4,skew,2.907202605,2.907202605,8.552683465,106.1916503,9.891292177,3.882894569,0.332,9.985631122,29.39153503,7.393246155,3.067515735,3.067515735,4.089723725,24.649196,3.905739112,0.98964693,0.855,15.47038193,78.53867468,-0.410853982,-0.410853982,0.411046106,0.191003369,0.14907917,15.12786191,0.002,0.038629359,-275.5944922,7.943872793,3.177703848,3.177703848,4.245176271,26.61294458,4.065916196,0.910291773,0.893,17.50878026,78.15468136,7.537426116,7.537426116,7.538416352,63.02096628,2.492867467,0.965873361,0.168,10.11712436,302.3596808,skew
597,N_AC1000b_X0.4b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,1000,0.400477567,0.400477567,0.2,0,0.4,skew,2.850886906,2.850886906,5.021336406,37.68307734,5.439219273,2.508393859,0.474,8.499999983,52.41353148,23.75515942,3.023358547,3.023358547,3.418826262,16.92116719,2.790745159,1.022521337,0.783,10.69857382,108.3351712,-0.404038537,-0.404038537,0.404093359,0.176220267,0.11395663,26.41157973,0,0.016913104,-354.5546539,23.76422595,3.023850811,3.023850811,3.41857982,16.88937047,2.784501786,0.96562509,0.812,11.3036069,108.5957576,7.393698956,7.393698956,7.393698956,59.47225152,2.193234493,1.023284854,0.062,8.40168913,337.1139283,skew
598,N_AC100b_X0.69b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,100,0.693147181,0.400477567,0.2,0,0.4,skew,4.666520501,4.666520501,12.49964806,220.831249,14.11573907,1.0006257,0.311,55.2980804,33.05898811,3.188489033,4.143440053,4.143440053,7.056404237,74.53649698,7.577983065,1.086405975,0.817,27.34258505,54.67734643,-0.577179127,-0.577179127,0.582335866,0.393789942,0.246403962,9.754353695,0.012,0.099020992,-234.2410096,4.103920131,3.934852602,3.934852602,6.863728355,70.66718981,7.432318896,0.967822017,0.863,30.10280217,52.94246193,11.12905435,11.12905435,11.13553209,137.0404247,3.632873757,0.991040135,0.152,14.36935088,306.3429972,skew
599,N_AC300b_X0.69b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,300,0.693147181,0.400477567,0.2,0,0.4,skew,4.542968997,4.542968997,9.007916544,120.4390372,9.995017271,3.789227225,0.338,10.33977258,45.45233764,7.363068244,4.889622454,4.889622454,5.497755531,42.1985705,4.278839939,1.001037635,0.773,16.75535841,114.2744885,-0.536336035,-0.536336035,0.536336035,0.31048419,0.151164473,14.88702768,0,0.039803368,-354.8029678,7.580373929,5.047691255,5.047691255,5.686462808,45.19146087,4.44207225,0.914581441,0.827,19.03887665,113.6337045,11.31553206,11.31553206,11.31553206,135.2590662,2.687940755,1.006176494,0.013,10.47185479,420.9740128,skew
600,N_AC1000b_X0.69b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,1000,0.693147181,0.400477567,0.2,0,0.4,skew,4.396180841,4.396180841,5.601952361,46.79239543,5.243422825,2.338222287,0.453,8.790370318,83.84181454,23.94690322,4.762497068,4.762497068,4.890905853,30.69571257,2.832376494,0.975388625,0.627,11.38285966,168.1449157,-0.53492763,-0.53492763,0.53492763,0.297915767,0.108535605,24.72117635,0,0.017210012,-492.8591238,23.94700729,4.760527196,4.760527196,4.888963913,30.64362871,2.826481651,0.917175819,0.673,12.08013147,168.4259013,11.37716978,11.37716978,11.37716978,134.0836319,2.155988883,0.973751686,0.002,8.679133751,527.7007626,skew
601,N_AC100b_X1.11b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,100,1.108662625,0.400477567,0.2,0,0.4,skew,7.01173045,7.01173045,13.18012782,265.9820778,14.73209926,0.000623437,0.323,92629.7155,47.59491723,3.133005461,5.801499263,5.801499263,8.208325812,101.7727826,8.257334467,1.104466278,0.806,29.30660445,70.25874132,-0.750446875,-0.750446875,0.750673215,0.629324121,0.257332138,9.615156767,0.004,0.104909724,-291.6257874,4.239976299,5.55382547,5.55382547,7.96180606,95.79840526,8.063401661,0.985524729,0.854,32.0722076,68.87695421,16.74579022,16.74579022,16.74579022,293.5875321,3.630319705,0.961459057,0.011,14.8010377,461.2759091,skew
602,N_AC300b_X1.11b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,300,1.108662625,0.400477567,0.2,0,0.4,skew,5.870200678,5.870200678,9.386107437,139.7794911,10.26769988,0.136281302,0.366,295.3350411,57.17152574,7.111310172,6.282766136,6.282766136,6.678275629,61.93045478,4.741285083,1.032273068,0.706,18.00443756,132.5118829,-0.684272512,-0.684272512,0.684272512,0.491335618,0.152085097,14.09855244,0,0.042285378,-449.9273929,7.429046594,6.463310413,6.463310413,6.886991111,65.8349711,4.907613909,0.937767062,0.756,20.51414878,131.6996515,16.61056042,16.61056042,16.61056042,282.5152776,2.571219822,0.948671186,0,10.62433079,646.0186825,skew
603,N_AC1000b_X1.11b_EM0.4meanX_AC0.2corX0sdBC0.4shapeBCskew,1000,1.108662625,0.400477567,0.2,0,0.4,skew,5.796884011,5.796884011,6.487607751,61.75476408,5.30839702,2.396763778,0.383,8.681929416,109.2021563,23.79629435,6.317275552,6.317275552,6.349256031,48.6222838,2.953478702,0.979430662,0.457,11.82056497,213.8927072,-0.67870903,-0.67870903,0.67870903,0.472555549,0.109185724,22.40623446,0,0.019101834,-621.609681,23.79744835,6.313561771,6.313561771,6.345654818,48.59973965,2.957604579,0.918535463,0.505,12.62182831,213.4687583,16.63352848,16.63352848,16.63352848,281.0558314,2.094265432,0.951338025,0,8.629287829,794.2416576,skew
604,N_AC100b_X0.4b_EM0.69meanX_AC0.2corX0sdBC0.4shapeBCskew,100,0.400477567,0.693147181,0.2,0,0.4,skew,4.581906352,4.581906352,12.99762044,233.9008917,14.59863507,0.456044324,0.284,125.4825353,31.38585443,3.217912635,4.280519212,4.280519212,7.448257199,81.45140828,7.949324205,1.151822315,0.812,27.05345944,53.8475863,-0.575946196,-0.575946196,0.577635671,0.392949806,0.247582476,9.543148383,0.012,0.101696572,-232.6280134,4.323037665,4.12847418,4.12847418,7.284975125,77.72681676,7.793796313,1.028228245,0.853,29.71239148,52.97128657,11.3321585,11.3321585,11.34227992,143.0519986,3.827379166,1.049474642,0.16,14.29577242,296.0814177,skew
605,N_AC300b_X0.4b_EM0.69meanX_AC0.2corX0sdBC0.4shapeBCskew,300,0.400477567,0.693147181,0.2,0,0.4,skew,4.122548882,4.122548882,8.669972397,116.5174011,9.981062739,3.749909161,0.377,10.4335986,41.30370673,7.25056987,4.57602242,4.57602242,5.295057587,40.6024523,4.436457288,1.032605274,0.779,16.84147219,103.1458689,-0.528893025,-0.528893025,0.528893025,0.302188742,0.149944635,15.05449887,0,0.039042958,-352.7255407,7.479831743,4.723295609,4.723295609,5.482357834,43.52390075,4.608211687,0.943571154,0.829,19.14413959,102.4973662,11.32080952,11.32080952,11.32080952,134.9913804,2.614859412,0.978462261,0.011,10.47568307,432.941422,skew
606,N_AC1000b_X0.4b_EM0.69meanX_AC0.2corX0sdBC0.4shapeBCskew,1000,0.400477567,0.693147181,0.2,0,0.4,skew,4.596664912,4.596664912,5.869009724,51.02186725,5.470142722,2.442865799,0.425,8.777627268,84.03190092,23.72967068,4.87017997,4.87017997,5.001667495,32.29830685,2.930570277,1.009106654,0.594,11.38395466,166.1854011,-0.534772928,-0.534772928,0.534772928,0.298315528,0.111111605,24.76233287,0,0.017589194,-481.2934981,23.72975043,4.867419332,4.867419332,5.000608007,32.29841715,2.935176562,0.953470125,0.647,12.06716435,165.8305464,11.41439959,11.41439959,11.41439959,134.8445885,2.135563416,0.964339252,0,8.680819274,534.4912499,skew
607,N_AC100b_X0.69b_EM0.69meanX_AC0.2corX0sdBC0.4shapeBCskew,100,0.693147181,0.693147181,0.2,0,0.4,skew,6.886598973,6.886598973,13.42988454,266.433822,14.80634338,0.261719218,0.324,221.7636136,46.51113914,3.184745166,5.998872294,5.998872294,8.193982863,98.21568505,7.892496928,1.085580338,0.795,28.49906024,76.0072807,-0.715715854,-0.715715854,0.715823107,0.569386863,0.239154498,9.055116026,0.003,0.103529143,-299.2692421,4.322474943,5.712453605,5.712453605,7.923822655,92.11336768,7.716267379,0.964780018,0.852,31.35140837,74.03130716,15.25310668,15.25310668,15.25310668,246.2358908,3.686762777,0.987190904,0.03,14.63936151,413.7262851,skew
