Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,Bucher.ate,Bucher.bias,Bucher.mae,Bucher.mse,Bucher.empse,Bucher.vr,Bucher.cov,Bucher.ciwidth,Bucher.std_bias
207,N_AC1000b_X1.11b_EM0.69meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,1000,1.108662625,0.693147181,0.4,0.35,0.4,normal,-0.029989235,-0.029989235,0.107904239,0.018443056,0.132518918,0.957740784,0.955,0.542385394,-22.63015365,838.2895709,-0.026774761,-0.026774761,0.118220212,0.021853032,0.145455498,0.980398734,0.954,0.581574673,-18.40752749,-0.034010707,-0.034010707,0.108064221,0.01841436,0.131434039,0.948251474,0.956,0.543328409,-25.87663531,838.2895709,-0.027295997,-0.027295997,0.118490483,0.021887084,0.145475686,0.978882087,0.954,0.582556592,-18.76327055,-0.129854003,-0.129854003,0.154150896,0.034642131,0.133408646,0.9600283,0.854,0.544725903,-97.33552307
208,N_AC100b_X0.4b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,100,0.400477567,1.108662625,0.4,0.35,0.4,normal,0.041931095,0.041931095,0.197650615,0.061968502,0.245500624,0.990085153,0.947,0.971981812,17.07983244,82.31791922,0.169238971,0.169238971,0.276730651,0.122729584,0.306890756,1.06958721,0.893,1.124723303,55.14632389,0.063197163,0.063197163,0.201566071,0.062975088,0.242981989,0.958803495,0.957,0.993396352,26.00899078,82.31791922,0.179059623,0.179059623,0.29125928,0.135735895,0.32214488,1.08450406,0.885,1.164389117,55.58356952,-0.134618311,-0.134618311,0.229667066,0.083052736,0.254942428,1.02324733,0.911,0.976651415,-52.80341632
209,N_AC300b_X0.4b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,300,0.400477567,1.108662625,0.4,0.35,0.4,normal,0.03019554,0.03019554,0.130430286,0.027634494,0.163552659,0.94344875,0.951,0.679543689,18.46227362,251.3887471,0.163491083,0.163491083,0.201015036,0.062147785,0.188292072,0.98561915,0.867,0.748860612,86.82844775,0.047846258,0.047846258,0.134551204,0.028812825,0.162942046,0.929731892,0.952,0.686994917,29.36397254,251.3887471,0.160516192,0.160516192,0.197314954,0.059765746,0.184483962,0.987681495,0.865,0.732183245,87.00820972,-0.143188385,-0.143188385,0.181346224,0.048971015,0.168809355,0.96718768,0.896,0.684169707,-84.8225415
210,N_AC1000b_X0.4b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,1000,0.400477567,1.108662625,0.4,0.35,0.4,normal,0.022562545,0.022562545,0.108267571,0.018320529,0.133526363,0.955283342,0.961,0.547914638,16.8974455,837.5493558,0.153163146,0.153163146,0.17592163,0.045003041,0.146852502,0.980162482,0.831,0.587301841,104.2972667,0.038841978,0.038841978,0.110657396,0.01908128,0.132627941,0.944575911,0.957,0.550397239,29.28642143,837.5493558,0.153574021,0.153574021,0.176413967,0.045141724,0.146895619,0.978068315,0.831,0.588732134,104.5463585,-0.15159915,-0.15159915,0.169264557,0.041846744,0.137416612,0.979315627,0.812,0.550040463,-110.3208325
211,N_AC100b_X0.69b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,100,0.693147181,1.108662625,0.4,0.35,0.4,normal,0.033812686,0.033812686,0.193507917,0.059123316,0.240910888,0.986930852,0.953,0.956858656,14.03534991,82.26561223,0.180594171,0.180594171,0.272005801,0.116732944,0.290177347,1.019587834,0.897,1.115621686,62.23579233,0.054572707,0.054572707,0.186957425,0.0560514,0.230491532,0.926753314,0.958,0.974919851,23.6766645,82.26561223,0.190736896,0.190736896,0.28597066,0.129230021,0.304864561,1.034405842,0.897,1.155298115,62.56446964,-0.134071505,-0.134071505,0.222759109,0.079589316,0.248346177,1.004771061,0.918,0.968876556,-53.98573355
212,N_AC300b_X0.69b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,300,0.693147181,1.108662625,0.4,0.35,0.4,normal,0.028867163,0.028867163,0.136844135,0.028838203,0.167430351,0.979277621,0.951,0.670203119,17.24129624,250.5212129,0.178766324,0.178766324,0.215379949,0.068725714,0.191846608,1.011523581,0.844,0.74345759,93.18190516,0.042551691,0.042551691,0.134855978,0.028116411,0.162271674,0.940631652,0.952,0.676240558,26.22250101,250.5212129,0.175293259,0.175293259,0.211263466,0.065832636,0.187456795,1.011828636,0.843,0.726226859,93.51128558,-0.133248571,-0.133248571,0.17348281,0.047454346,0.172420687,0.996325573,0.877,0.678369292,-77.2810814
213,N_AC1000b_X0.69b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,1000,0.693147181,1.108662625,0.4,0.35,0.4,normal,0.021360126,0.021360126,0.103881338,0.017227669,0.129569294,0.937770529,0.963,0.541606164,16.48548442,839.705892,0.170007126,0.170007126,0.185771557,0.048493587,0.140038476,0.943658374,0.805,0.581715536,121.4002977,0.035335181,0.035335181,0.105476984,0.017611312,0.127980919,0.923007444,0.958,0.543523227,27.6097259,839.705892,0.170838411,0.170838411,0.186554649,0.048907326,0.140503753,0.944136661,0.802,0.583352617,121.5899268,-0.139906203,-0.139906203,0.160351391,0.037668957,0.134585752,0.967548473,0.83,0.545261006,-103.953205
214,N_AC100b_X1.11b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,100,1.108662625,1.108662625,0.4,0.35,0.4,normal,0.025724746,0.025724746,0.19501809,0.05879186,0.241222482,1.008035758,0.948,0.938036918,10.66432368,82.28850229,0.183136843,0.183136843,0.282459004,0.119875834,0.293978152,1.044542981,0.897,1.103231941,62.29607244,0.049857886,0.049857886,0.189023362,0.055966629,0.231375039,0.952142584,0.956956957,0.952560574,21.54851544,82.27928421,0.192311101,0.192311101,0.297238351,0.132966701,0.309966483,1.063832973,0.89,1.142140087,62.04254711,-0.122201088,-0.122201088,0.221154476,0.077278122,0.249814779,1.022996136,0.908,0.957243046,-48.91667703
215,N_AC300b_X1.11b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,300,1.108662625,1.108662625,0.4,0.35,0.4,normal,0.031289265,0.031289265,0.133937453,0.028156832,0.164939441,0.977983765,0.954,0.661105787,18.97015356,249.5357602,0.195626332,0.195626332,0.228795112,0.075982026,0.194293885,1.033435314,0.814,0.736976978,100.6857895,0.039757703,0.039757703,0.132571899,0.027150812,0.159986663,0.942162428,0.962,0.665634903,24.85063586,249.5357602,0.19257874,0.19257874,0.224857415,0.073351243,0.190528141,1.037059585,0.815,0.72016748,101.0762712,-0.11655908,-0.11655908,0.162278875,0.04002064,0.162668627,0.949994762,0.906,0.671213493,-71.65430847
216,N_AC1000b_X1.11b_EM1.11meanX_AC0.4corX0.35sdBC0.4shapeBCNorm,1000,1.108662625,1.108662625,0.4,0.35,0.4,normal,0.02413681,0.02413681,0.105370618,0.017308594,0.129393783,0.947178554,0.959,0.535500203,18.65376366,838.4323831,0.185548858,0.185548858,0.199387502,0.054329759,0.141142843,0.962095898,0.75,0.575067183,131.4617547,0.033085772,0.033085772,0.105198991,0.017177608,0.126881987,0.926338671,0.963,0.53691837,26.07601989,838.4323831,0.186822155,0.186822155,0.200658364,0.054939462,0.141622744,0.960707556,0.75,0.577856342,131.9153623,-0.122332113,-0.122332113,0.145971826,0.032089133,0.130924133,0.950695802,0.853,0.539829008,-93.43740531
